currency,clusters
USD_AUD,2
USD_AOA,3
USD_GOD,4
USD_OIL,5
USD_PLA,5
USD_SIL,4
USD_PD,3
CAD_AOA,3
CAD_KES,4
CAD_MAD,4
EUR_AOA,3
EUR_KES,4
EUR_MAD,6
AUD_AOA,3
AUD_KES,4
AUD_MAD,4
T_YIELD,6
USD_BWP,1
USD_EGP,7
USD_GHS,8
USD_KES,9
USD_MAD,10
USD_MZN,11
USD_NGN,11
USD_ZAR,1
USD_TZS,9
USD_UGX,9
USD_ZMW,8
CAD_BWP,9
CAD_EGP,7
CAD_GHS,8
CAD_MZN,11
CAD_NGN,11
CAD_ZAR,1
CAD_TZS,9
CAD_UGX,9
CAD_ZMW,8
EUR_BWP,1
EUR_EGP,7
EUR_GHS,8
EUR_MZN,11
EUR_NGN,11
EUR_ZAR,1
EUR_TZS,9
EUR_UGX,9
EUR_ZMW,8
AUD_BWP,9
AUD_EGP,7
AUD_GHS,8
AUD_MZN,11
AUD_NGN,11
AUD_ZAR,9
AUD_TZS,9
AUD_UGX,9
AUD_ZMW,8
