BaseDate,USD_CAD,USD_EUR,USD_AUD,USD_AOA,USD_BWP,USD_EGP,USD_GHS,USD_KES,USD_MAD,USD_MZN,USD_NGN,USD_ZAR,USD_TZS,USD_UGX,USD_ZMW,USD_GOD,USD_OIL,USD_PLA,USD_SIL,USD_PD,CAD_AOA,CAD_BWP,CAD_EGP,CAD_GHS,CAD_KES,CAD_MAD,CAD_MZN,CAD_NGN,CAD_ZAR,CAD_TZS,CAD_UGX,CAD_ZMW,EUR_AOA,EUR_BWP,EUR_EGP,EUR_GHS,EUR_KES,EUR_MAD,EUR_MZN,EUR_NGN,EUR_ZAR,EUR_TZS,EUR_UGX,EUR_ZMW,AUD_AOA,AUD_BWP,AUD_EGP,AUD_GHS,AUD_KES,AUD_MAD,AUD_MZN,AUD_NGN,AUD_ZAR,AUD_TZS,AUD_UGX,AUD_ZMW,T_YIELD
1/29/2020,0.731830548,0.836157118,0.77579792,0.979336508,0.843732539,0.732206171,0.930064422,0.879202152,0.813161144,0.730076419,0.979879916,0.7786233,0.937214686,0.908411576,0.952116728,0.72525544,0.232196842,0.152823517,0.216553121,0.908056226,0.976621788,0.818965744,0.738743201,0.92376136,0.373203417,0.274465789,0.716092571,0.88012842,0.80170416,0.844814417,0.874572801,0.945637613,0.96546161,0.788600051,0.691906182,0.908587226,0.318422372,0.021299902,0.690174141,0.832574058,0.762566031,0.773170392,0.772825027,0.940235566,0.957883153,0.630480494,0.661396942,0.887986758,0.333115894,0.280989504,0.621644398,0.785246674,0.659261123,0.663075406,0.711151329,0.936237546,0.079310345
1/28/2020,0.723280218,0.832984153,0.77283237,0.979239096,0.843732539,0.7319698,0.932083931,0.882115643,0.816831848,0.729530568,0.976778401,0.774248687,0.941334542,0.907395498,0.959367037,0.721323647,0.22900571,0.148254872,0.215605926,0.908986467,0.980389527,0.828384372,0.742332358,0.929811864,0.38151146,0.288020193,0.719456195,0.881691212,0.802180326,0.855357902,0.879493163,0.957886825,0.966739609,0.791870776,0.692999227,0.912098712,0.323898368,0.034469704,0.691033487,0.831298171,0.759364428,0.780040631,0.773768763,0.949821714,0.959432803,0.633442924,0.662624231,0.891577798,0.336357276,0.285117035,0.622599309,0.784501796,0.656521365,0.667978589,0.71226106,0.945593137,0.096551724
1/27/2020,0.73085892,0.833715711,0.773721114,0.979637174,0.845766388,0.731608292,0.936345094,0.882339758,0.813261254,0.725527656,0.97069466,0.775813118,0.93668048,0.9056806,0.93567612,0.733886822,0.226150487,0.146702748,0.231498037,0.903885147,0.977360919,0.823088218,0.738554101,0.930775012,0.376371243,0.275704006,0.711940563,0.872253996,0.798485749,0.844987959,0.872110368,0.928349847,0.966824358,0.794122844,0.69231846,0.916247604,0.323514074,0.026626976,0.68651847,0.825395398,0.760760192,0.774425502,0.771379073,0.923297229,0.959322953,0.634726215,0.661874438,0.895243976,0.335953441,0.282669691,0.618909712,0.779328792,0.657646946,0.664068276,0.710230173,0.920532549,0.082758621
1/24/2020,0.720948309,0.832009361,0.754349207,0.979642091,0.82761903,0.728417291,0.933315831,0.882339758,0.813294624,0.728256914,0.976659112,0.755687964,0.937012335,0.903545552,0.930127415,0.72500232,0.234968089,0.16045592,0.231515765,0.969645008,0.981853405,0.806663678,0.739662127,0.932184094,0.38333261,0.287457067,0.719236635,0.882784122,0.777644902,0.85267689,0.876699537,0.927342246,0.96757071,0.76903975,0.689748646,0.913821118,0.324924231,0.030291354,0.690140864,0.831665865,0.738017678,0.776071759,0.77011457,0.918005315,0.970177321,0.634730037,0.668502957,0.903025112,0.347393855,0.298066473,0.630370691,0.794735893,0.649793368,0.677258156,0.721360419,0.926808625,0.113793103
1/23/2020,0.717839098,0.824236416,0.747974885,0.979712106,0.82761903,0.728465956,0.934325585,0.881667414,0.809089999,0.721888646,0.972643047,0.75822775,0.93714184,0.905573419,0.935930949,0.71775466,0.246724891,0.159497652,0.223900215,0.970009388,0.98333894,0.810080944,0.741112345,0.934688698,0.384991598,0.287187263,0.714200851,0.880710665,0.783662537,0.855127413,0.881277315,0.935227108,0.971030908,0.777021583,0.693077699,0.918320856,0.330708333,0.039333833,0.686974112,0.831803876,0.745801151,0.782088526,0.777477149,0.928251261,0.973862132,0.641191379,0.671694812,0.907600144,0.350854393,0.30110874,0.628178744,0.795211305,0.658297121,0.681669459,0.72739618,0.936893592,0.127586207
1/22/2020,0.719393704,0.815545452,0.749130804,0.976052136,0.82761903,0.730370824,0.945432882,0.881219184,0.802382621,0.718340611,0.973637123,0.749980686,0.937044711,0.904394427,0.939506782,0.714244733,0.256382264,0.166394483,0.224918323,0.98105653,0.978948516,0.80837127,0.742408606,0.945633811,0.38353651,0.279017629,0.709887974,0.880819608,0.77073675,0.853868278,0.878795596,0.938320791,0.971119313,0.786001145,0.698742007,0.933923316,0.337515423,0.045945198,0.687171907,0.836992308,0.741364725,0.788592412,0.781893721,0.93653957,0.969638104,0.64001659,0.672824566,0.917910345,0.34992609,0.296854399,0.624688336,0.795331934,0.647304557,0.680814214,0.725608166,0.939905952,0.137931034
1/21/2020,0.706762534,0.818195034,0.748841698,0.971527167,0.833629039,0.730815756,0.955530424,0.884580905,0.800480529,0.715611354,0.97359736,0.762331968,0.937247062,0.90664523,0.942457871,0.713730056,0.269818609,0.15673757,0.223596302,0.952703485,0.980132397,0.831437109,0.748599858,0.962249319,0.395186308,0.292254914,0.712897231,0.887326258,0.798159646,0.863539952,0.890505603,0.948024059,0.965357538,0.792194215,0.698073914,0.943384956,0.338619711,0.036925242,0.683103917,0.835648346,0.754414341,0.786794124,0.782663958,0.938495028,0.96539201,0.646809291,0.673365581,0.928041022,0.351863233,0.296144049,0.622569773,0.795464513,0.662536464,0.681156647,0.727720441,0.943179806,0.14137931
1/17/2020,0.705985231,0.816508328,0.74078087,0.963590442,0.829618058,0.732755384,0.948462144,0.882339758,0.80141489,0.706058952,0.973835938,0.763027271,0.943050474,0.908788853,0.938553226,0.712945385,0.271498153,0.171415268,0.230021527,1,0.972459691,0.826218498,0.750997499,0.955156831,0.393945874,0.294070186,0.703509067,0.887950639,0.799763582,0.870094881,0.893567839,0.944160798,0.958019637,0.787977829,0.700803589,0.936687845,0.337817101,0.042174542,0.673812832,0.836699241,0.756290077,0.794433586,0.786184654,0.93499925,0.962195872,0.650704331,0.679121943,0.925679541,0.355540816,0.303108037,0.61851084,0.800230702,0.670315657,0.69086192,0.735047302,0.944224026,0.162068966
1/16/2020,0.701321415,0.805477014,0.733923682,0.959257722,0.829618058,0.730482057,0.952157845,0.889735545,0.794774252,0.706058952,0.973239493,0.755601051,0.936712857,0.904394427,0.935380189,0.708954531,0.271330198,0.159382929,0.227534507,0.908416319,0.97018842,0.83141379,0.750731368,0.96128797,0.40321525,0.2933582,0.705640832,0.889834891,0.792808562,0.867095598,0.891824245,0.943097166,0.958397863,0.799464051,0.70316883,0.94561288,0.354420903,0.053947303,0.678768714,0.841618316,0.754314321,0.79593914,0.788584488,0.93698202,0.961831657,0.657760647,0.680522895,0.933310566,0.363611002,0.305364465,0.621803476,0.803688429,0.667181294,0.690974617,0.735993289,0.945275834,0.151724138
1/15/2020,0.701321415,0.802137724,0.731364524,0.955549514,0.825624292,0.735042616,0.952319405,0.893545495,0.788433944,0.703693595,0.974233568,0.756161156,0.936899019,0.910825295,0.927414714,0.71211009,0.26536782,0.171266803,0.229079397,0.896563254,0.966430855,0.825344254,0.755544939,0.961458893,0.406273049,0.287338772,0.703223175,0.890751595,0.793610193,0.867287438,0.899335967,0.934380217,0.956061661,0.796985265,0.709359652,0.94731302,0.361034888,0.049804527,0.677774596,0.844198839,0.757071387,0.798714136,0.798065687,0.929759085,0.959638858,0.656049566,0.685925552,0.934959613,0.36719305,0.304279741,0.621064506,0.805941489,0.670084392,0.692876345,0.743280822,0.938505629,0.144827586
1/14/2020,0.705207928,0.807628138,0.731932649,0.955576677,0.829618058,0.737434129,0.951168286,0.893097266,0.791737578,0.703693595,0.974313094,0.755388597,0.935846796,0.902357985,0.920879573,0.703790889,0.268894861,0.14553528,0.223988857,0.867001325,0.96470434,0.827083054,0.756283259,0.958385066,0.403121197,0.285827373,0.701449863,0.888795074,0.789459041,0.863270579,0.886631656,0.925250245,0.953704247,0.797216747,0.709476442,0.943581797,0.355934242,0.043931432,0.675301817,0.841537025,0.752718986,0.793335555,0.784859357,0.919736626,0.959343643,0.659818739,0.68779342,0.933482913,0.366607441,0.30546852,0.620790691,0.80567673,0.668645961,0.691717213,0.735616142,0.931239794,0.155172414
1/13/2020,0.7042363,0.805954741,0.731932649,0.977698303,0.83162139,0.739186051,0.953510915,0.896234872,0.789468415,0.69996361,0.973319019,0.758034611,0.935344967,0.902357985,0.907003699,0.705048051,0.267635203,0.139097338,0.227959985,0.842536427,0.987532665,0.831205565,0.758576205,0.961324082,0.406333717,0.284836151,0.698084603,0.888386305,0.794002197,0.863486334,0.887334317,0.910576752,0.97702391,0.801957293,0.712023052,0.946828934,0.360463238,0.043469999,0.672113925,0.841453898,0.756922423,0.794068366,0.785973043,0.905083999,0.9810889,0.662003741,0.689372677,0.935815023,0.368267928,0.304334326,0.617679206,0.804895526,0.671884195,0.691351586,0.735616142,0.916583731,0.165517241
